Item,1_short_plausible,1_short_implausible,2_short_implausible,2_short_plausible,1_long_plausible,1_long_implausible,2_long_implausible,2_long_plausible
0,the boy kicked the ball into the net .,the boy kicked the lollipop with delight .,the boy licked the ball into the net .,the boy licked the lollipop with delight .,the boy kicked the big round ball into the net .,the boy kicked the big round lollipop with delight .,the boy licked the big round ball into the net .,the boy licked the big round lollipop with delight .
1,his band was performing live .,his band was bandaged .,his hand was performing live .,his hand was bandaged .,his band was apparently no longer performing live .,his band was apparently no longer bandaged .,his hand was apparently no longer performing live .,his hand was apparently no longer bandaged .
2,in the base were soldiers from all over .,in the base were flowers from my mom .,in the vase were soldiers from all over .,in the vase were flowers from my mom .,in the base were a wide range of soldiers from all over .,in the base were a wide range of flowers from my mom .,in the vase were a wide range of soldiers from all over .,in the vase were a wide range of flowers from my mom .
3,she got a lovely fan in the gift shop this morning .,she got a lovely fan in the sun over the holidays .,she got a lovely tan in the gift shop this morning .,she got a lovely tan in the sun over the holidays .,she got a lovely fan while spending some time in the gift shop this morning .,she got a lovely fan while spending some time in the sun over the holidays .,she got a lovely tan while spending some time in the gift shop this morning .,she got a lovely tan while spending some time in the sun over the holidays .
4,the car from the dealer was excellent .,the car from the doctor was excellent .,the care from the dealer was excellent .,the care from the doctor was excellent .,the car that was provided by the dealer was excellent .,the car that was provided by the doctor was excellent .,the care that was provided by the dealer was excellent .,the care that was provided by the doctor was excellent .
5,the doctor wired the jaws shut during the surgery .,the doctor wired the blood off during the surgery .,the doctor wiped the jaws shut during the surgery .,the doctor wiped the blood off during the surgery .,the doctor wired the heavily sedated patient's jaws shut during the surgery .,the doctor wired the heavily sedated patient's blood off during the surgery .,the doctor wiped the heavily sedated patient's jaws shut during the surgery .,the doctor wiped the heavily sedated patient's blood off during the surgery .
6,can you please dip that brush into the paint ?,can you please dip that bag up ?,can you please zip that brush into the paint ?,can you please zip that bag up ?,can you please dip that big black brush into the paint ?,can you please dip that big black bag up ?,can you please zip that big black brush into the paint ?,can you please zip that big black bag up ?
7,the student scored a goal with a header .,the student scored a teacher with a prank .,the student scared a goal with a header .,the student scared a teacher with a prank .,the student scored a very difficult goal with a header .,the student scored a very difficult teacher with a prank .,the student scared a very difficult goal with a header .,the student scared a very difficult teacher with a prank .
8,the tires were pumped up by the mechanic .,the tires were extinguished by the firefighters .,the fires were pumped up by the mechanic .,the fires were extinguished by the firefighters .,the tires were quickly and efficiently pumped up by the mechanic .,the tires were quickly and efficiently extinguished by the firefighters .,the fires were quickly and efficiently pumped up by the mechanic .,the fires were quickly and efficiently extinguished by the firefighters .
9,the bears were roaming in the forest .,the bears were chilling in the freezer .,the beers were roaming in the forest .,the beers were chilling in the freezer .,the bears were last seen roaming in the forest .,the bears were last seen chilling in the freezer .,the beers were last seen roaming in the forest .,the beers were last seen chilling in the freezer .
10,the driver bumped the traffic cone with his car .,the driver bumped the tank full of gas .,the driver pumped the traffic cone with his car .,the driver pumped the tank full of gas .,the driver bumped the bright red traffic cone with his car .,the driver bumped the bright red tank full of gas .,the driver pumped the bright red traffic cone with his car .,the driver pumped the bright red tank full of gas .
11,why did you shave your beard for no reason ?,why did you shave your teammate for no reason ?,why did you shove your beard for no reason ?,why did you shove your teammate for no reason ?,why did you shave your really nice beard for no reason ?,why did you shave your really nice teammate for no reason ?,why did you shove your really nice beard for no reason ?,why did you shove your really nice teammate for no reason ?
12,the checks were cashed on monday .,the checks were hatched on monday .,the chicks were cashed on monday .,the chicks were hatched on monday .,the checks were unexpectedly cashed on monday .,the checks were unexpectedly hatched on monday .,the chicks were unexpectedly cashed on monday .,the chicks were unexpectedly hatched on monday .
13,i watched as a tune was played by the pianist .,i watched as a tune was installed by the plumber .,i watched as a tube was played by the pianist .,i watched as a tube was installed by the plumber .,i watched as a tune was quite masterfully played by the pianist .,i watched as a tune was quite masterfully installed by the plumber .,i watched as a tube was quite masterfully played by the pianist .,i watched as a tube was quite masterfully installed by the plumber .
14,the doctor sees patients with mental illnesses affecting them .,the doctor sees patients with mental fragments in their bodies .,the doctor sees patients with metal illnesses affecting them .,the doctor sees patients with metal fragments in their bodies .,the doctor sees patients with mental or other kinds of illnesses affecting them .,the doctor sees patients with mental or other kinds of fragments in their bodies .,the doctor sees patients with metal or other kinds of illnesses affecting them .,the doctor sees patients with metal or other kinds of fragments in their bodies .
15,"with two strong wings , this bird can fly for hours .","with two strong wings , this team can qualify for the finals .","with two strong wins , this bird can fly for hours .","with two strong wins , this team can qualify for the finals .","with two strong wings , this very powerful bird can fly for hours .","with two strong wings , this very powerful team can qualify for the finals .","with two strong wins , this very powerful bird can fly for hours .","with two strong wins , this very powerful team can qualify for the finals ."
16,"these bills appear counterfeit , unfortunately .","these bills appear steep , unfortunately .","these hills appear counterfeit , unfortunately .","these hills appear steep , unfortunately .","these bills definitely appear to be counterfeit , unfortunately .","these bills definitely appear to be steep , unfortunately .","these hills definitely appear to be counterfeit , unfortunately .","these hills definitely appear to be steep , unfortunately ."
17,the facts of the case were published .,the facts of the people were blurred .,the faces of the case were published .,the faces of the people were blurred .,the facts and other details of the case were published .,the facts and other details of the people were blurred .,the faces and other details of the case were published .,the faces and other details of the people were blurred .
18,the rules state that the loser of the matches would be eliminated .,the rules state that the loser of the amounts would be considered .,the rules state that the lower of the matches would be eliminated .,the rules state that the lower of the amounts would be considered .,the rules state that the loser of the two relevant matches would be eliminated .,the rules state that the loser of the two relevant amounts would be considered .,the rules state that the lower of the two relevant matches would be eliminated .,the rules state that the lower of the two relevant amounts would be considered .
19,the garbage was tossed out due to its smell .,the garbage was renovated due to its leaks .,the garage was tossed out due to its smell .,the garage was renovated due to its leaks .,the garbage definitely needs to be tossed out due to its smell .,the garbage definitely needs to be renovated due to its leaks .,the garage definitely needs to be tossed out due to its smell .,the garage definitely needs to be renovated due to its leaks .
20,this wind is ferocious and freezing .,this wind is delicious with steak .,this wine is ferocious and freezing .,this wine is delicious with steak .,this wind is most definitely ferocious and freezing .,this wind is most definitely delicious with steak .,this wine is most definitely ferocious and freezing .,this wine is most definitely delicious with steak .
21,thank you for taking care of her yesterday .,thank you for taking pancakes for breakfast .,thank you for making care of her yesterday .,thank you for making pancakes for breakfast .,thank you for taking such good care of her yesterday .,thank you for taking such good pancakes for breakfast .,thank you for making such good care of her yesterday .,thank you for making such good pancakes for breakfast .
22,"after being seated in the theater , the audience fell silent .","after being seated in the jar , the jam was sold .","after being sealed in the theater , the audience fell silent .","after being sealed in the jar , the jam was sold .","after being seated carefully in the small theater , the audience fell silent .","after being seated carefully in the small jar , the jam was sold .","after being sealed carefully in the small theater , the audience fell silent .","after being sealed carefully in the small jar , the jam was sold ."
23,"because of all the treats , my dog was overweight and unhealthy .","because of all the treats , my dog was scared and timid .","because of all the threats , my dog was overweight and unhealthy .","because of all the threats , my dog was scared and timid .","because of all the treats , my dog has become very overweight and unhealthy .","because of all the treats , my dog has become very scared and timid .","because of all the threats , my dog has become very overweight and unhealthy .","because of all the threats , my dog has become very scared and timid ."
24,the chart contained data and statistics .,the chart contained fruits and vegetables .,the cart contained data and statistics .,the cart contained fruits and vegetables .,the chart contained lots of data and statistics .,the chart contained lots of fruits and vegetables .,the cart contained lots of data and statistics .,the cart contained lots of fruits and vegetables .
25,these saints were venerated by the worshippers .,these saints were removed by the cleaners .,these stains were venerated by the worshippers .,these stains were removed by the cleaners .,these saints had been talked about and venerated by the worshippers .,these saints had been talked about and removed by the cleaners .,these stains had been talked about and venerated by the worshippers .,these stains had been talked about and removed by the cleaners .
26,she knew how to untie the knots for the sailboat .,she knew how to untie the community members .,she knew how to unite the knots for the sailboat .,she knew how to unite the community members .,she knew how to untie every single one of the knots for the sailboat .,she knew how to untie every single one of the community members .,she knew how to unite every single one of the knots for the sailboat .,she knew how to unite every single one of the community members .
27,are you able to reverse these transactions over the phone ?,are you able to reverse these rooms in the hotel ?,are you able to reserve these transactions over the phone ?,are you able to reserve these rooms in the hotel ?,are you able to reverse both of these transactions over the phone ?,are you able to reverse both of these rooms in the hotel ?,are you able to reserve both of these transactions over the phone ?,are you able to reserve both of these rooms in the hotel ?
